"Year","Time"
2013,200.3
2012,200.45
2011,200.84
2010,206.87
2009,203.87
2008,200.4
2007,203.34
2006,201.47
2005,199.17
2004,208.55
2003,199.9
2002,196.97
2001,201.08
2000,198.68
1999,199.64
1998,198.59
1997,198.33
1996,198.8
1995,207.6
1994,199.8
1993,203.4
1992,204.7
1991,198.9
1990,196.3
1989,197.1
1988,198.9
1987,202
1986,201.7
1985,203
1984,198.9
1983,198.9
1982,201.2
1981,201.2
1980,199.8
1979,201.8
1978,204.3
1977,198.4
1976,214.1
1975,209.6
1974,203.1
1973,199.5
1972,199.3
1971,199.5
1970,199.7
1969,201.5
1968,199.1
1967,200.4
1966,201.9
1965,201.1
1964,199.6
1963,201.1
1962,201.4
1961,199.5
1960,203.75
1959,203
1958,201.25
1957,204.5
1956,199.5
1955,208.25
1954,203
1953,203.75
1952,203.75
1951,204.25
1950,199.5
1949,208.5
1948,201
1947,208
1946,201.25
1945,204.25
1944,204.5
1943,203.25
1942,213.25
1941,203.75
1940,206
1939,207
1938,206.25
1937,201.5
1936,201.25
1935,203.75
1934,220.5
1933,207.5
1932,203.25
1931,206
1930,207.75
1929,206.5
1928,203.25
1927,204
1926,202.75
1925,202.75
1924,206.5
1923,204.25
1922,208.25
1921,207.75
1920,205.75
1919,204.5
1918,205.75
1917,206.75
1916,207.75
1915,208.25
1914,206
1913,211
1912,207.5
1911,207.75
1910,207.75
1909,207.5
1908,208.75
1907,207.5
1906,211.25
1905,207.5
1904,208.25
1903,209.25
1902,209
1901,210.5
1900,209
1899,216.5
1898,209.75
1897,211
1896,208.5
1895,209
1894,211
1893,210.5
1892,216.25
1891,209.25
1890,208.25
1889,212.5
1888,210.75
1887,208.5
1886,211
1885,209.5
1884,211.75
1883,210.5
1882,220
1881,212.5
1880,214.75
1879,210.75
1878,215.75
1877,213.5
1876,216.25
1875,218
1874,217.5
1873,216
1872,219
1871,219
1870,217
1869,220
1868,222
1867,219
1866,223
1865,224
1864,232
1863,224
1862,227
1861,232
